attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
91,35,-46,362941,24287,18326,13996,6640,4867,1392,89554,0,0
91,35,2047,362941,24287,18326,13996,6640,4867,1392,89554,0,0
91,35,635,362941,24287,18326,13996,6640,4867,1392,89554,0,0
91,35,-1045,362941,24287,18326,13996,6640,4867,1392,89554,0,0
91,35,17,362941,24287,18326,13996,6640,4867,1392,89554,0,0
91,35,2047,362941,24287,18326,13996,6640,4867,1392,89554,0,0
91,35,1748,834476,45797,23681,20317,29270,20331,19170,14254,51,0
91,35,469,834476,45797,23681,20317,29270,20331,19170,14254,51,0
91,35,38,834476,45797,23681,20317,29270,20331,19170,14254,51,0
91,35,39,834476,45797,23681,20317,29270,20331,19170,14254,51,0
91,35,-13,834476,45797,23681,20317,29270,20331,19170,14254,51,0
91,35,-137,834476,45797,23681,20317,29270,20331,19170,14254,51,0
91,35,-602,834476,45797,23681,20317,29270,20331,19170,14254,51,0
91,35,39,654158,163838,107636,74555,37624,27497,41028,25234,51,0
91,35,88,654158,163838,107636,74555,37624,27497,41028,25234,51,0
91,35,198,654158,163838,107636,74555,37624,27497,41028,25234,51,0
91,35,-99,654158,163838,107636,74555,37624,27497,41028,25234,51,0
91,35,235,654158,163838,107636,74555,37624,27497,41028,25234,51,0
91,35,160,654158,163838,107636,74555,37624,27497,41028,25234,51,0
91,35,69,654158,163838,107636,74555,37624,27497,41028,25234,51,0
91,35,250,654158,163838,107636,74555,37624,27497,41028,25234,51,0
81,64,-13,979052,139151,121657,9860,17261,32122,2077,372770,0,0
81,64,-187,979052,139151,121657,9860,17261,32122,2077,372770,0,0
81,64,182,979052,139151,121657,9860,17261,32122,2077,372770,0,0
81,64,162,979052,139151,121657,9860,17261,32122,2077,372770,0,0
81,64,-20,979052,139151,121657,9860,17261,32122,2077,372770,0,0
81,64,-40,979052,139151,121657,9860,17261,32122,2077,372770,0,0
81,64,-113,979052,139151,121657,9860,17261,32122,2077,372770,0,0
81,64,-23,979052,139151,121657,9860,17261,32122,2077,372770,0,0
56,75,54,139092,29637,8924,10019,2471,2736,297,90559,0,0
56,75,-40,139092,29637,8924,10019,2471,2736,297,90559,0,0
56,75,64,139092,29637,8924,10019,2471,2736,297,90559,0,0
56,75,200,139092,29637,8924,10019,2471,2736,297,90559,0,0
56,75,84,139092,29637,8924,10019,2471,2736,297,90559,0,0
56,75,92,139092,29637,8924,10019,2471,2736,297,90559,0,0
56,75,43,139092,29637,8924,10019,2471,2736,297,90559,0,0
56,75,170,139092,29637,8924,10019,2471,2736,297,90559,0,0
56,75,53,139092,29637,8924,10019,2471,2736,297,90559,0,0
44,84,186,1684869,497488,362133,43318,104212,68910,6799,1329036,0,0
44,84,154,1684869,497488,362133,43318,104212,68910,6799,1329036,0,0
44,84,35,1684869,497488,362133,43318,104212,68910,6799,1329036,0,0
44,84,90,1684869,497488,362133,43318,104212,68910,6799,1329036,0,0
44,84,144,1684869,497488,362133,43318,104212,68910,6799,1329036,0,0
44,84,60,1684869,497488,362133,43318,104212,68910,6799,1329036,0,0
44,84,-108,1684869,497488,362133,43318,104212,68910,6799,1329036,0,0
44,84,-92,1684869,497488,362133,43318,104212,68910,6799,1329036,0,0
54,67,-34,1587638,23351,8197,4918,6523,5670,492,84278,0,0
54,67,152,1587638,23351,8197,4918,6523,5670,492,84278,0,0
54,67,-74,1587638,23351,8197,4918,6523,5670,492,84278,0,0
54,67,-186,1587638,23351,8197,4918,6523,5670,492,84278,0,0
54,67,-89,1587638,23351,8197,4918,6523,5670,492,84278,0,0
54,67,27,1587638,23351,8197,4918,6523,5670,492,84278,0,0
54,67,-3,1587638,23351,8197,4918,6523,5670,492,84278,0,0
54,67,-115,1587638,23351,8197,4918,6523,5670,492,84278,0,0
43,57,23,423550,36988,5985,19246,15069,3802,1210,79826,0,0
43,57,-74,423550,36988,5985,19246,15069,3802,1210,79826,0,0
43,57,115,423550,36988,5985,19246,15069,3802,1210,79826,0,0
43,57,-135,423550,36988,5985,19246,15069,3802,1210,79826,0,0
43,57,-38,423550,36988,5985,19246,15069,3802,1210,79826,0,0
43,57,96,423550,36988,5985,19246,15069,3802,1210,79826,0,0
43,57,-122,423550,36988,5985,19246,15069,3802,1210,79826,0,0
43,57,185,423550,36988,5985,19246,15069,3802,1210,79826,0,0
44,54,-7,1752525,25411,14242,2082,6319,2729,677,71564,0,0
44,54,33,1752525,25411,14242,2082,6319,2729,677,71564,0,0
44,54,144,1752525,25411,14242,2082,6319,2729,677,71564,0,0
44,54,73,1752525,25411,14242,2082,6319,2729,677,71564,0,0
44,54,-73,1752525,25411,14242,2082,6319,2729,677,71564,0,0
44,54,-60,1752525,25411,14242,2082,6319,2729,677,71564,0,0
44,54,106,1752525,25411,14242,2082,6319,2729,677,71564,0,0
44,54,-8,1752525,25411,14242,2082,6319,2729,677,71564,0,0
29,56,-88,1783749,38007,12702,18758,9148,2405,974,77031,0,0
29,56,-37,1783749,38007,12702,18758,9148,2405,974,77031,0,0
29,56,-21,1783749,38007,12702,18758,9148,2405,974,77031,0,0
29,56,-108,1783749,38007,12702,18758,9148,2405,974,77031,0,0
29,56,144,1783749,38007,12702,18758,9148,2405,974,77031,0,0
29,56,176,1783749,38007,12702,18758,9148,2405,974,77031,0,0
29,56,-39,1783749,38007,12702,18758,9148,2405,974,77031,0,0
29,56,-35,1783749,38007,12702,18758,9148,2405,974,77031,0,0
1,50,183,390547,57217,10174,6982,11269,1154,656,73598,0,0
1,50,6,390547,57217,10174,6982,11269,1154,656,73598,0,0
1,50,112,390547,57217,10174,6982,11269,1154,656,73598,0,0
1,50,22,390547,57217,10174,6982,11269,1154,656,73598,0,0
1,50,124,390547,57217,10174,6982,11269,1154,656,73598,0,0
1,50,113,390547,57217,10174,6982,11269,1154,656,73598,0,0
1,50,-53,390547,57217,10174,6982,11269,1154,656,73598,0,0
1,50,-137,390547,57217,10174,6982,11269,1154,656,73598,0,0
1,48,32,407381,15273,5474,2690,2122,1080,296,49107,0,0
1,48,72,407381,15273,5474,2690,2122,1080,296,49107,0,0
1,48,-68,407381,15273,5474,2690,2122,1080,296,49107,0,0
1,48,84,407381,15273,5474,2690,2122,1080,296,49107,0,0
1,48,66,407381,15273,5474,2690,2122,1080,296,49107,0,0
1,48,122,407381,15273,5474,2690,2122,1080,296,49107,0,0
1,48,32,407381,15273,5474,2690,2122,1080,296,49107,0,0
1,48,91,407381,15273,5474,2690,2122,1080,296,49107,0,0
4,47,80,346040,65994,21616,13301,14560,5120,3339,165475,0,0
4,47,165,346040,65994,21616,13301,14560,5120,3339,165475,0,0
4,47,40,346040,65994,21616,13301,14560,5120,3339,165475,0,0
4,47,-22,346040,65994,21616,13301,14560,5120,3339,165475,0,0
4,47,-201,346040,65994,21616,13301,14560,5120,3339,165475,0,0
4,47,73,346040,65994,21616,13301,14560,5120,3339,165475,0,0
4,47,-21,346040,65994,21616,13301,14560,5120,3339,165475,0,0
4,47,32,346040,65994,21616,13301,14560,5120,3339,165475,0,0
1,29,39,52946,232613,45994,11359,4730,6077,786,147292,0,0
1,29,-27,52946,232613,45994,11359,4730,6077,786,147292,0,0
1,29,102,52946,232613,45994,11359,4730,6077,786,147292,0,0
1,29,134,52946,232613,45994,11359,4730,6077,786,147292,0,0
1,29,67,52946,232613,45994,11359,4730,6077,786,147292,0,0
1,29,197,52946,232613,45994,11359,4730,6077,786,147292,0,0
1,29,137,52946,232613,45994,11359,4730,6077,786,147292,0,0
1,29,-177,52946,232613,45994,11359,4730,6077,786,147292,0,0
30,40,-56,517604,7993,3013,1227,1516,1471,417,41635,0,0
30,40,23,517604,7993,3013,1227,1516,1471,417,41635,0,0
30,40,-12,517604,7993,3013,1227,1516,1471,417,41635,0,0
30,40,54,517604,7993,3013,1227,1516,1471,417,41635,0,0
30,40,-21,517604,7993,3013,1227,1516,1471,417,41635,0,0
30,40,21,517604,7993,3013,1227,1516,1471,417,41635,0,0
30,40,-198,517604,7993,3013,1227,1516,1471,417,41635,0,0
30,40,52,517604,7993,3013,1227,1516,1471,417,41635,0,0
35,47,-66,1149608,77593,35132,25165,11269,9154,4494,139670,0,0
35,47,-86,1149608,77593,35132,25165,11269,9154,4494,139670,0,0
35,47,53,1149608,77593,35132,25165,11269,9154,4494,139670,0,0
35,47,172,1149608,77593,35132,25165,11269,9154,4494,139670,0,0
35,47,169,1149608,77593,35132,25165,11269,9154,4494,139670,0,0
35,47,70,1149608,77593,35132,25165,11269,9154,4494,139670,0,0
35,47,182,1149608,77593,35132,25165,11269,9154,4494,139670,0,0
35,47,71,1149608,77593,35132,25165,11269,9154,4494,139670,0,0
40,54,165,103607,64743,21231,48817,33426,10394,4370,337356,0,0
40,54,233,103607,64743,21231,48817,33426,10394,4370,337356,0,0
40,54,-29,103607,64743,21231,48817,33426,10394,4370,337356,0,0
40,54,-181,103607,64743,21231,48817,33426,10394,4370,337356,0,0
40,54,113,103607,64743,21231,48817,33426,10394,4370,337356,0,0
40,54,-108,103607,64743,21231,48817,33426,10394,4370,337356,0,0
40,54,-50,103607,64743,21231,48817,33426,10394,4370,337356,0,0
40,54,-65,103607,64743,21231,48817,33426,10394,4370,337356,0,0
47,50,-21,2320260,1579186,283894,55176,70717,64428,13231,1632199,0,0
47,50,-83,2320260,1579186,283894,55176,70717,64428,13231,1632199,0,0
47,50,-40,2320260,1579186,283894,55176,70717,64428,13231,1632199,0,0
47,50,-35,2320260,1579186,283894,55176,70717,64428,13231,1632199,0,0
47,50,-105,2320260,1579186,283894,55176,70717,64428,13231,1632199,0,0
47,50,82,2320260,1579186,283894,55176,70717,64428,13231,1632199,0,0
47,50,162,2320260,1579186,283894,55176,70717,64428,13231,1632199,0,0
